New_BOL,New_Set1_Y,New_30K,New_Set2_Y,New_75K,New_Set3_Y,
675.08931,0.021758,677.74113,0.021917,675.57311,0.020922,0.020417
697.60417,0.021797,698.88768,0.021954,696.99044,0.021629,0.020454
716.66957,0.021837,714.41706,0.022169,718.71833,0.022114,0.020669
738.17167,0.021999,735.99009,0.022292,736.68659,0.021725,0.020792
757.53488,0.021689,758.66934,0.0217,759.49229,0.021119,0.0202
773.2513,0.021485,780.69541,0.022046,777.73756,0.022621,0.020546
795.34749,0.021001,798.39784,0.022471,797.46689,0.02221,0.020971
813.60776,0.021734,813.70897,0.022281,815.46514,0.022242,0.020781
833.86666,0.022193,834.27423,0.022953,835.86537,0.021596,0.021453
854.47311,0.02275,853.90164,0.021045,855.43992,0.022072,0.019545
875.18015,0.022086,874.87028,0.021247,875.14936,0.021221,0.019747
893.7909,0.021957,893.64248,0.021783,896.51815,0.021608,0.020283
915.93196,0.021266,918.89186,0.021766,915.00869,0.021518,0.020266
932.89975,0.02195,933.41286,0.021946,934.2935,0.021451,0.020446
958.61733,0.022243,957.80558,0.02233,955.64263,0.021971,0.02083
977.80593,0.021528,973.82822,0.021893,974.16474,0.021564,0.020393
994.8796,0.022226,995.83411,0.022284,993.33918,0.021523,0.020784
1020.03837,0.021343,1019.7289,0.022035,1019.22253,0.022656,0.020535
1039.03995,0.021773,1042.05122,0.022669,1038.81643,0.021372,0.021169
1060.36952,0.021856,1060.19431,0.02231,1056.24088,0.02167,0.02081
1080.08857,0.021283,1076.78504,0.022059,1082.20753,0.02178,0.020559
1095.59849,0.021744,1098.83873,0.022769,1102.77293,0.021924,0.021269
1118.7515,0.022276,1119.03987,0.022111,1120.21073,0.021562,0.020611
1141.02504,0.021801,1139.55681,0.021993,1140.02026,0.022265,0.020493
1157.98188,0.022316,1157.59981,0.02191,1159.32528,0.021817,0.02041
1182.95533,0.021914,1178.39949,0.021893,1178.73904,0.021831,0.020393
1200.88901,0.021726,1196.56115,0.022583,1201.97479,0.021929,0.021083
1219.39948,0.02245,1219.45685,0.022075,1217.20665,0.021529,0.020575
1236.55862,0.022247,1234.30063,0.022355,1239.87523,0.021978,0.020855
1259.49986,0.021954,1259.96685,0.022338,1260.19774,0.021273,0.020838
1279.94716,0.021435,1279.19567,0.021335,1276.66459,0.021369,0.019835
1296.8262,0.02194,1301.77455,0.022028,1293.11834,0.022184,0.020528
1319.93855,0.022143,1314.53491,0.022364,1318.32397,0.021785,0.020864
1340.50919,0.021998,1337.07592,0.021476,1338.78482,0.022769,0.019976
1358.41047,0.021047,1358.96954,0.021849,1358.47005,0.021899,0.020349
1377.51863,0.021877,1379.24577,0.022462,1376.11467,0.021563,0.020962
1394.91605,0.021628,1398.01606,0.021713,1398.91367,0.022522,0.020213
1418.11098,0.022139,1417.96218,0.021918,1416.24849,0.022091,0.020418
1435.77156,0.021754,1438.86054,0.022136,1439.1203,0.021399,0.020636
1458.46134,0.022226,1456.8794,0.021572,1457.17617,0.022436,0.020072
1479.66658,0.021538,1479.57963,0.022422,1476.47502,0.022488,0.020922
1495.37642,0.021525,1498.51579,0.021803,1518.7235,0.021802,0.020303
1520.42566,0.021969,1519.0997,0.022281,1542.65,0.021744,0.020781
1539.26914,0.021822,1539.39835,0.022323,1559.18726,0.022936,0.020823
1557.98951,0.022215,1558.29586,0.022282,1577.22528,0.021601,0.020782
1577.50753,0.022129,1577.92425,0.02223,1597.90007,0.022008,0.02073
1597.02739,0.021342,1598.82956,0.022006,1613.07084,0.022445,0.020506
1615.12163,0.022211,1617.88655,0.022343,1637.67024,0.021725,0.020843
1635.63419,0.021766,1635.63025,0.022258,1653.86163,0.021692,0.020758
1657.49555,0.021488,1658.66167,0.02224,1673.90298,0.021626,0.02074
1678.72202,0.02215,1677.24519,0.021984,1696.35055,0.021656,0.020484
1693.30836,0.02127,1696.03607,0.022786,1718.10384,0.022107,0.021286
1718.03439,0.022355,1716.36318,0.022471,1734.24367,0.021341,0.020971
1734.78645,0.021759,1736.959,0.022297,1757.34901,0.021301,0.020797
1757.567,0.021672,1758.65974,0.022449,1777.69086,0.021059,0.020949
1775.84175,0.021412,1778.07747,0.022337,1797.31946,0.022019,0.020837
1798.37322,0.021836,1796.11946,0.022084,1815.01091,0.021839,0.020584
1813.91434,0.021459,1817.87241,0.022279,1836.47962,0.021753,0.020779
1835.20245,0.022103,1836.3399,0.022394,1858.13871,0.021347,0.020894
1853.48132,0.021738,1856.14555,0.021951,1875.00401,0.022541,0.020451
1876.75628,0.021917,1876.85053,0.022382,1893.72423,0.022083,0.020882
1895.80469,0.021459,1894.47955,0.02254,1918.37188,0.021566,0.02104
1916.45937,0.02213,1914.30036,0.022318,1938.70782,0.02188,0.020818
1936.01649,0.02181,1935.59776,0.021861,1955.88375,0.021309,0.020361
1954.6491,0.021754,1954.37968,0.022547,1973.69227,0.02123,0.021047
1974.66242,0.02188,1975.88553,0.022535,1994.3973,0.02161,0.021035
1994.15324,0.022512,1993.82584,0.022889,2019.80838,0.021807,0.021389
2020.89098,0.022303,2020.93128,0.022232,2039.86497,0.021836,0.020732
2043.49019,0.02219,2034.85345,0.021613,2064.19489,0.021371,0.020113
2058.43949,0.021987,2061.3033,0.02222,2078.757,0.021956,0.02072
2080.79638,0.022462,2079.9587,0.02245,2100.98552,0.021426,0.02095
2099.66651,0.022201,2097.78436,0.02214,2117.9469,0.021512,0.02064
2122.08438,0.022333,2117.35741,0.022117,2136.64368,0.021663,0.020617
2135.06143,0.022104,2140.3174,0.02252,2157.51508,0.021469,0.02102
2156.01489,0.022133,2161.43674,0.02236,2178.47188,0.022164,0.02086
2180.04557,0.022355,2180.5183,0.022598,2198.24023,0.02146,0.021098
2203.04186,0.022427,2203.51678,0.022579,2218.07118,0.022108,0.021079
2219.15429,0.021706,2219.09218,0.021781,2242.16084,0.021147,0.020281
2240.5718,0.023195,2238.66071,0.022242,2257.99714,0.021207,0.020742
2259.65193,0.021757,2259.08475,0.022048,2278.15146,0.020985,0.020548
2276.73425,0.022667,2280.09199,0.022186,2296.39269,0.021861,0.020686
2296.13869,0.021946,2299.75173,0.022409,2318.58588,0.022142,0.020909
2320.40645,0.02182,2315.83924,0.022117,2338.97018,0.022149,0.020617
2340.79413,0.021575,2338.64219,0.022124,2361.28335,0.022103,0.020624
2360.42522,0.021919,2356.96122,0.022234,2378.97184,0.021767,0.020734
2379.9742,0.022101,2378.99996,0.022492,2399.23531,0.02207,0.020992
2399.20026,0.021735,2400.63958,0.022524,2420.17577,0.021268,0.021024
2419.23487,0.02129,2418.22853,0.022858,2437.3405,0.022144,0.021358
2436.87805,0.020783,2438.51956,0.022638,2458.63276,0.02142,0.021138
2456.99881,0.021719,2455.41949,0.022106,2479.15188,0.021655,0.020606
2474.71938,0.021232,2479.91309,0.022067,2498.55374,0.021028,0.020567
2497.59036,0.022812,2497.46683,0.022332,2516.15202,0.022186,0.020832
2517.57548,0.021923,2520.84176,0.02229,2537.24516,0.021435,0.02079
2539.59778,0.021423,2541.43344,0.021858,2558.35015,0.022611,0.020358
2557.14832,0.021631,2557.84727,0.022509,2577.07257,0.021735,0.021009
2574.4925,0.021727,2578.60343,0.021527,2594.732,0.021512,0.020027
2600.67938,0.021984,2600.40425,0.022067,2614.50226,0.021584,0.020567
2614.2766,0.021471,2617.38766,0.022327,2637.95402,0.021207,0.020827
2634.58506,0.021635,2639.39263,0.022782,2656.74102,0.021866,0.021282
2658.41029,0.021786,2656.88558,0.022214,2676.70181,0.021623,0.020714
2679.66282,0.021321,2673.82876,0.021894,2697.60238,0.021595,0.020394
2694.72137,0.022271,2695.76002,0.022253,2718.12106,0.02132,0.020753
2716.67727,0.021465,2714.22024,0.022287,2733.30722,0.022198,0.020787
2735.66757,0.021742,2736.06672,0.022089,2758.3946,0.02213,0.020589
2757.05109,0.022055,2756.67265,0.021318,2778.98064,0.02168,0.019818
2772.98532,0.022499,2777.17703,0.022493,2796.6294,0.021784,0.020993
2791.85874,0.021392,2794.76356,0.022179,2815.1095,0.021839,0.020679
2810.30891,0.021452,2815.06162,0.022474,2837.67088,0.021857,0.020974
2836.03421,0.021531,2833.59445,0.022168,2855.6793,0.021723,0.020668
2856.31189,0.022154,2853.84164,0.022193,2873.76763,0.0217,0.020693
2879.23441,0.020848,2877.85174,0.021996,2895.81247,0.021455,0.020496
2895.50723,0.021855,2896.58196,0.022015,2916.25825,0.021661,0.020515
2914.35056,0.021449,2917.9217,0.02222,2934.38155,0.021349,0.02072
2935.4684,0.022565,2934.45531,0.022001,2953.2443,0.021553,0.020501
2954.64905,0.021803,2953.664,0.022497,2998.17746,0.02085,0.020997
2999.76821,0.021599,2999.44741,0.022381,,,0.020881
,,,,,0.021718176,0.020608456
