New_BOL,New_Set1_Y,New_30K,New_Set2_Y,New_75K,New_Set3_Y,,
760.28057,0.020317,744.72715,0.020192,754.48651,0.020302,0.018692,0.018802
776.52026,0.020102,771.77366,0.020417,759.43932,0.021077,0.018917,0.019577
815.89113,0.020291,815.65711,0.021436,825.8112,0.021342,0.019936,0.019842
815.90121,0.020975,826.87518,0.020346,838.00039,0.020819,0.018846,0.019319
837.05724,0.020847,842.02462,0.020581,859.07203,0.021292,0.019081,0.019792
869.86077,0.01926,870.94082,0.020278,864.13935,0.02153,0.018778,0.02003
875.22669,0.021275,871.79572,0.021496,888.82295,0.02063,0.019996,0.01913
884.49169,0.020301,881.49774,0.019907,910.19168,0.019822,0.018407,0.018322
897.65807,0.020237,897.20173,0.021186,927.02651,0.020897,0.019686,0.019397
928.18357,0.021333,932.37324,0.020569,944.14207,0.020151,0.019069,0.018651
945.84338,0.019907,964.52668,0.018932,983.72564,0.020587,0.017432,0.019087
974.59423,0.020961,972.70973,0.020982,986.01799,0.020328,0.019482,0.018828
1002.47278,0.020369,1010.70334,0.020062,1013.06227,0.021103,0.018562,0.019603
1018.30574,0.020703,1014.78802,0.020359,1021.71845,0.02077,0.018859,0.01927
1038.14792,0.020294,1025.28139,0.020382,1044.12208,0.0214,0.018882,0.0199
1052.22514,0.019787,1039.9062,0.020328,1066.32108,0.021002,0.018828,0.019502
1081.96735,0.019908,1107.06831,0.021513,1100.52458,0.019778,0.020013,0.018278
1118.99954,0.019881,1114.99787,0.021336,1137.06581,0.021573,0.019836,0.020073
1120.14579,0.020104,1115.62545,0.02211,1144.97171,0.020905,0.02061,0.019405
1133.26504,0.019326,1133.05193,0.020753,1165.44147,0.02015,0.019253,0.01865
1169.73004,0.020173,1161.20455,0.021385,1169.6752,0.022309,0.019885,0.020809
1187.01047,0.019486,1220.08853,0.021259,1211.36744,0.020248,0.019759,0.018748
1218.2908,0.020485,1223.11304,0.021066,1233.98693,0.020854,0.019566,0.019354
1237.94501,0.02105,1225.83573,0.020234,1234.36437,0.020884,0.018734,0.019384
1265.36149,0.020214,1240.20917,0.018574,1256.59132,0.020114,0.017074,0.018614
1273.91769,0.021192,1257.30077,0.021946,1277.05278,0.019652,0.020446,0.018152
1306.02679,0.020738,1281.59242,0.020566,1299.85233,0.020617,0.019066,0.019117
1324.40001,0.019774,1317.16812,0.020415,1310.58177,0.020655,0.018915,0.019155
1331.33387,0.020163,1329.71996,0.02134,1330.73835,0.020147,0.01984,0.018647
1343.43267,0.020063,1344.58306,0.020345,1349.64613,0.021347,0.018845,0.019847
1392.70779,0.018842,1348.07752,0.020433,1399.41648,0.020094,0.018933,0.018594
1395.31737,0.020437,1398.25974,0.019832,1401.55931,0.021127,0.018332,0.019627
1404.18367,0.020327,1406.06488,0.01875,1408.33499,0.021488,0.01725,0.019988
1444.09535,0.021537,1410.65556,0.020366,1434.61977,0.021439,0.018866,0.019939
1445.87439,0.019755,1440.75679,0.01929,1443.4429,0.019529,0.01779,0.018029
1485.93401,0.019829,1449.27703,0.01951,1474.43423,0.020238,0.01801,0.018738
1501.48972,0.020498,1463.4014,0.019555,1500.27426,0.020657,0.018055,0.019157
1509.9797,0.020928,1488.77121,0.020479,1502.34917,0.020641,0.018979,0.019141
1525.45192,0.021825,1507.44673,0.018431,1535.93939,0.020848,0.016931,0.019348
1560.58334,0.021195,1532.8076,0.020968,1559.77492,0.020097,0.019468,0.018597
1582.71815,0.02037,1549.84942,0.02004,1580.4404,0.020745,0.01854,0.019245
1588.89084,0.020725,1596.13805,0.019119,1606.64045,0.021005,0.017619,0.019505
1596.69382,0.02047,1600.15901,0.019827,1636.33378,0.020899,0.018327,0.019399
1657.92195,0.020111,1602.48668,0.019652,1649.12283,0.020554,0.018152,0.019054
1664.67063,0.02019,1644.59955,0.020735,1654.83037,0.02203,0.019235,0.02053
1668.09625,0.020314,1665.21844,0.019712,1675.09062,0.020271,0.018212,0.018771
1681.15487,0.019852,1682.79748,0.019358,1716.8823,0.021185,0.017858,0.019685
1707.78371,0.021062,1692.04964,0.019595,1721.88951,0.021111,0.018095,0.019611
1732.76168,0.020573,1709.89596,0.020306,1762.60689,0.019848,0.018806,0.018348
1755.3575,0.019904,1748.11812,0.021018,1764.65764,0.020124,0.019518,0.018624
1760.1053,0.020106,1758.39623,0.020395,1771.98659,0.02122,0.018895,0.01972
1785.08814,0.021382,1780.70801,0.019838,1793.71755,0.021055,0.018338,0.019555
1792.77978,0.019483,1788.90459,0.018716,1837.36602,0.020228,0.017216,0.018728
1850.13564,0.019087,1800.63426,0.021143,1873.28187,0.02114,0.019643,0.01964
1852.16915,0.021166,1838.03027,0.020732,1880.89122,0.021705,0.019232,0.020205
1881.88372,0.020723,1849.60158,0.020869,1898.14083,0.021197,0.019369,0.019697
1900.08108,0.020718,1875.3102,0.021385,1944.00361,0.020408,0.019885,0.018908
1938.52984,0.01995,1886.29541,0.020701,1944.1264,0.021566,0.019201,0.020066
1941.75146,0.020845,1930.0232,0.021524,1962.92242,0.020763,0.020024,0.019263
1957.21552,0.021158,1947.20933,0.020673,1970.59354,0.022233,0.019173,0.020733
1963.45437,0.020384,1960.94298,0.018951,1977.36028,0.020251,0.017451,0.018751
1999.7248,0.020338,1961.56557,0.021047,2012.90466,0.02128,0.019547,0.01978
2017.37867,0.02055,2010.79847,0.020233,2012.92865,0.02144,0.018733,0.01994
2029.68466,0.02023,2025.17798,0.020908,2057.46704,0.021816,0.019408,0.020316
2053.10923,0.021453,2030.79122,0.021806,2063.7847,0.021253,0.020306,0.019753
2070.87693,0.01962,2052.99631,0.018879,2096.07552,0.021183,0.017379,0.019683
2097.31878,0.020873,2074.50247,0.021482,2097.40548,0.020433,0.019982,0.018933
2118.16438,0.020987,2094.19448,0.020519,2114.39786,0.021489,0.019019,0.019989
2119.98808,0.021478,2123.69316,0.021047,2148.99988,0.021357,0.019547,0.019857
2160.783,0.020674,2128.00776,0.020957,2159.71878,0.021332,0.019457,0.019832
2170.42697,0.020761,2152.10702,0.019549,2204.63075,0.022099,0.018049,0.020599
2204.54279,0.02084,2192.11575,0.020485,2218.78693,0.021032,0.018985,0.019532
2221.77368,0.020591,2200.43541,0.020963,2236.0604,0.021377,0.019463,0.019877
2236.99604,0.019628,2224.56356,0.021278,2243.41935,0.021438,0.019778,0.019938
2255.07474,0.020163,2246.60275,0.020074,2287.73978,0.02109,0.018574,0.01959
2274.42497,0.020148,2252.74085,0.020396,2300.06753,0.021521,0.018896,0.020021
2293.88469,0.020894,2287.09209,0.020225,2305.49984,0.022112,0.018725,0.020612
2304.97589,0.020944,2288.04538,0.021815,2318.68554,0.020932,0.020315,0.019432
2330.57886,0.020807,2307.7284,0.018884,2376.4596,0.021666,0.017384,0.020166
2375.96146,0.021771,2322.60296,0.020184,,,0.018684,
,,2386.45043,0.020574,,,0.019074,
,,,0.020485856,,0.020878853,0.018985856,0.019378853
