New_BOL,New_Set1_Y,New_30K,New_Set2_Y,New_75K,New_Set3_Y,,
1809.41808,0.021196,1816.14672,0.021055,1808.93689,0.021496,0.019555,0.019996
1835.77629,0.020993,1841.3564,0.020932,1840.52324,0.023476,0.019432,0.021976
1862.60639,0.022038,1861.9272,0.023782,1852.31885,0.021222,0.022282,0.019722
1869.55372,0.020056,1876.17516,0.02174,1874.49808,0.022264,0.02024,0.020764
1905.24401,0.022457,1899.96566,0.02243,1905.0861,0.022404,0.02093,0.020904
1918.50767,0.021585,1916.27403,0.022274,1923.68143,0.022584,0.020774,0.021084
1938.80566,0.022889,1941.17122,0.022497,1931.06449,0.022421,0.020997,0.020921
1948.38468,0.022073,1955.63755,0.02244,1938.64745,0.023053,0.02094,0.021553
1971.29825,0.021677,1977.36252,0.022153,1985.95405,0.022783,0.020653,0.021283
1998.14683,0.020607,1983.26887,0.022767,1989.44763,0.02269,0.021267,0.02119
2000.72741,0.022932,2010.41809,0.021333,2015.41362,0.021528,0.019833,0.020028
2039.457,0.021713,2035.75839,0.022127,2053.79256,0.021844,0.020627,0.020344
2068.01953,0.022427,2062.8651,0.022368,2061.81362,0.022141,0.020868,0.020641
2068.58306,0.022177,2071.39522,0.02219,2082.65514,0.02251,0.02069,0.02101
2097.61073,0.022541,2097.4615,0.022208,2108.00008,0.021324,0.020708,0.019824
2114.29679,0.021416,2118.45666,0.021869,2114.14211,0.021431,0.020369,0.019931
2141.01187,0.022521,2154.97888,0.020303,2147.51499,0.022146,0.018803,0.020646
2153.80457,0.022483,2162.10406,0.02161,2174.54027,0.022128,0.02011,0.020628
2178.9381,0.023052,2178.65901,0.020861,2179.92731,0.022408,0.019361,0.020908
2190.77702,0.022443,2194.41282,0.022132,2186.32091,0.021868,0.020632,0.020368
2217.50692,0.021485,2217.12638,0.020587,2218.59116,0.022144,0.019087,0.020644
2247.19451,0.021251,2229.37725,0.022695,2252.10128,0.022586,0.021195,0.021086
2255.64054,0.021964,2261.00784,0.022299,2260.91618,0.022999,0.020799,0.021499
2289.56197,0.020957,2283.64692,0.02266,2294.45347,0.022873,0.02116,0.021373
2303.21359,0.022367,2301.88889,0.021695,2304.85529,0.021685,0.020195,0.020185
2321.48442,0.021516,2329.17881,0.021231,2308.84753,0.022648,0.019731,0.021148
2337.98047,0.020255,2336.79575,0.021765,2347.85537,0.022685,0.020265,0.021185
2360.55257,0.021499,2354.30483,0.022737,2361.5281,0.021882,0.021237,0.020382
2361.31538,0.021059,2376.20799,0.022403,2374.20851,0.021903,0.020903,0.020403
2404.20734,0.022102,2396.79556,0.02125,2403.75747,0.022521,0.01975,0.021021
2408.02292,0.022182,2410.61184,0.022213,2417.64288,0.021103,0.020713,0.019603
2436.3923,0.02412,2436.72809,0.022988,2439.65503,0.022416,0.021488,0.020916
2469.73685,0.022532,2467.10304,0.021525,2464.69171,0.022603,0.020025,0.021103
2481.03618,0.023055,2472.98675,0.022872,2471.79864,0.022855,0.021372,0.021355
2496.01689,0.021588,2507.98314,0.022608,2516.99091,0.021843,0.021108,0.020343
2516.21901,0.02183,2530.81074,0.022761,2526.16425,0.021968,0.021261,0.020468
2535.59889,0.021243,2542.07782,0.021008,2552.27206,0.022365,0.019508,0.020865
2563.76388,0.021907,2548.42888,0.021218,2560.45355,0.022649,0.019718,0.021149
2584.87546,0.0214,2599.25063,0.022675,2574.98247,0.022288,0.021175,0.020788
2612.75834,0.021204,2600.63945,0.021144,2596.71057,0.022429,0.019644,0.020929
2618.36907,0.022744,2622.11287,0.022619,2633.00955,0.022404,0.021119,0.020904
2636.19336,0.021935,2643.49221,0.022237,2636.15867,0.021374,0.020737,0.019874
2658.78345,0.021543,2659.07608,0.021666,2656.73195,0.021945,0.020166,0.020445
2682.90987,0.021435,2696.61754,0.022992,2684.1513,0.021679,0.021492,0.020179
2712.2328,0.022524,2705.16125,0.022311,2717.04248,0.022764,0.020811,0.021264
2733.97089,0.023629,2709.4524,0.022143,2723.05333,0.02214,0.020643,0.02064
2744.60852,0.022047,2748.40741,0.021914,2750.54488,0.022423,0.020414,0.020923
2768.01538,0.021747,2756.84236,0.023365,2756.94427,0.022194,0.021865,0.020694
2771.00862,0.02229,2768.22663,0.021895,2762.48717,0.021901,0.020395,0.020401
2798.59977,0.021956,2788.60326,0.022542,2800.16413,0.02252,0.021042,0.02102
2819.74813,0.022584,2819.57049,0.022478,2818.05767,0.022415,0.020978,0.020915
2856.0015,0.023185,2838.62749,0.023022,2865.59137,0.02177,0.021522,0.02027
2879.13444,0.021681,2857.61139,0.022297,2885.90892,0.022708,0.020797,0.021208
2883.87319,0.021381,2884.65962,0.022477,2891.84144,0.022573,0.020977,0.021073
2908.81306,0.021792,2900.53694,0.021136,2913.09556,0.021602,0.019636,0.020102
2922.54908,0.023467,2917.63831,0.022444,2930.05429,0.021938,0.020944,0.020438
2924.95099,0.020568,2940.50803,0.021502,2934.86892,0.02087,0.020002,0.01937
2961.043,0.021076,2967.16695,0.021726,2958.83973,0.022419,0.020226,0.020919
2988.93236,0.022456,2982.1586,0.02088,2988.79345,0.022117,0.01938,0.020617
3002.9954,0.021414,2988.78905,0.023902,2994.46156,0.021704,0.022402,0.020204
3028.59546,0.02201,3025.10628,0.021903,3015.64308,0.02216,0.020403,0.02066
3036.00317,0.022169,3039.48992,0.021742,3028.41197,0.021701,0.020242,0.020201
3061.79044,0.019694,3065.24972,0.02417,3078.42404,0.021915,0.02267,0.020415
3079.42371,0.02077,3089.94403,0.021694,3080.15554,0.02222,0.020194,0.02072
3101.39408,0.022172,3102.23435,0.02125,3108.27182,0.021835,0.01975,0.020335
3116.69773,0.021322,3112.53556,0.021123,3116.34685,0.02136,0.019623,0.01986
3146.0526,0.02203,3137.69087,0.019975,3140.54178,0.022038,0.018475,0.020538
3158.22489,0.021515,3150.84614,0.021258,3160.05491,0.022176,0.019758,0.020676
3185.75013,0.021791,3176.38176,0.023017,3171.07217,0.022221,0.021517,0.020721
3205.6206,0.021011,3203.34395,0.021831,3198.02118,0.020816,0.020331,0.019316
3223.89708,0.022411,3218.35585,0.021617,3220.98639,0.022017,0.020117,0.020517
3241.36437,0.022139,3237.4769,0.022412,3242.19142,0.022474,0.020912,0.020974
3266.4517,0.02087,3263.19185,0.021123,3260.69836,0.023596,0.019623,0.022096
3273.91398,0.021196,3281.37211,0.020525,3280.76845,0.021673,0.019025,0.020173
3304.63172,0.021441,3311.08013,0.022496,3289.02314,0.021858,0.020996,0.020358
3319.2563,0.020756,3317.54817,0.021186,3327.12643,0.022158,0.019686,0.020658
3337.5689,0.020679,3345.69108,0.021757,3344.52073,0.021955,0.020257,0.020455
3368.2748,0.020688,3367.55708,0.021584,3364.88632,0.022433,0.020084,0.020933
3377.97933,0.020371,3375.8812,0.022254,3382.8599,0.022541,0.020754,0.021041
3393.30534,0.022089,3403.58336,0.020692,3398.49804,0.021536,0.019192,0.020036
3419.25514,0.020875,3420.33341,0.020826,3399.19887,0.022777,0.019326,0.021277
3453.39045,0.021552,3442.03192,0.021221,3445.1754,0.022993,0.019721,0.021493
3460.21002,0.020158,3457.63863,0.021399,3454.43985,0.023548,0.019899,0.022048
3496.5245,0.0212,3507.66594,0.022151,3502.97356,0.023018,0.020651,0.021518
,,,,,,,
,,,,,,0.020501782,0.020820529
